id,title,tags
19995,Avatar,"cultur clash futur space war space coloni societi samworthington zoesaldana sigourneyweav stephenlang michellerodriguez jamescameron action adventur fantasi scienc fiction in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization."
285,Pirates of the Caribbean: At World's End,"ocean drug abus exot island east india trade compani love of one' life johnnydepp orlandobloom keiraknightley stellanskarsg\u00e5rd chowyun-fat goreverbinski adventur fantasi action captain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems."
206647,Spectre,"spi base on novel secret agent sequel mi6 danielcraig christophwaltz l\u00e9aseydoux ralphfienn monicabellucci sammend action adventur crime a cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre."
49026,The Dark Knight Rises,"dc comic crime fighter terrorist secret ident burglar christianbal michaelcain garyoldman annehathaway tomhardi christophernolan action crime drama thriller follow the death of district attorney harvey dent, batman assum respons for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy."
49529,John Carter,"base on novel mar medallion space travel princess taylorkitsch lynncollin samanthamorton willemdafo thomashaden church andrewstanton action adventur scienc fiction john carter is a war-weary, former militari captain who' inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands."
559,Spider-Man 3,"dual ident amnesia sandstorm love of one' life forgiv tobeymaguir kirstendunst jamesfranco thomashaden churchtoph grace samraimi fantasi action adventur the seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle."
38757,Tangled,"hostag magic hors fairi tale music zacharylevi mandymoor donnamurphi ronperlman m.c.gainey byronhoward anim famili when the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs."
99861,Avengers: Age of Ultron,"marvel comic sequel superhero base on comic book vision robertdowney jr.chri hemsworthmark ruffalochri evansscarlett johansson josswhedon action adventur scienc fiction when toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure."
767,Harry Potter and the Half-Blood Prince,"witch magic broom school of witchcraft wizardri danielradcliff rupertgrint emmawatson tomfelton michaelgambon davidy adventur fantasi famili as harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past."
209112,Batman v Superman: Dawn of Justice,"dc comic vigilant superhero base on comic book reveng benaffleck henrycavil galgadot amyadam jesseeisenberg zacksnyd action adventur fantasi fear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before."
